unique_id,bagging_freq,learning_rate,verbosity,n_estimators,lambda_l1,lambda_l2,num_leaves,feature_fraction,bagging_fraction,objective
M24561,1,0.05,-1,25,1.6867686877480186e-05,0.033033056779270514,2,0.8243289395954726,0.9271577847057386,l1
M24788,1,0.05,-1,762,8.110494533304515e-08,0.01312668776265694,87,0.8195980362743432,0.6157209040346677,l1
M24809,1,0.05,-1,750,2.0733814647116136e-05,0.027849983309132003,849,0.5375308000657162,0.7710683802508713,l1
M25091,1,0.05,-1,33,0.027986258230304234,4.0239709475948286e-06,6,0.7932564674050415,0.5100537730937468,l1
M25102,1,0.05,-1,263,9.510195962033462e-08,0.0018604653646509973,3,0.7572306087304912,0.9675884499754971,l2
M25172,1,0.05,-1,38,7.676311509855242e-07,0.00994434772166378,2,0.6183355496008762,0.6791819050013616,l1
M25353,1,0.05,-1,53,0.6408807093836716,1.58206348567688e-05,1711,0.6944287557601553,0.5976249843233731,l2
M25418,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M25542,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M25751,1,0.05,-1,31,5.3151483846546435e-08,0.06766457646904026,4,0.5773711615176929,0.7118748588229649,l2
M25801,1,0.05,-1,23,0.2102379171257233,7.501218490115144e-07,19,0.6065577461298371,0.5381891609996974,l1
M25967,1,0.05,-1,716,4.687738824983491e-08,0.047509914387836125,2,0.5494716020014122,0.9000472239682351,l2
M26001,1,0.05,-1,312,1.0231297224548426e-08,6.16296101330732e-07,45,0.7248796991396903,0.7286224924466449,l2
M26125,1,0.05,-1,199,0.010707688639130198,7.826261027298925e-07,327,0.918635241327511,0.9865447561769335,l1
M26212,1,0.05,-1,51,6.710404579678738,0.006431627431821704,640,0.6742571132853572,0.6090160002773385,l1
M26445,1,0.05,-1,491,0.00015737546095672116,2.0137838798343894e-05,79,0.6729097652189097,0.7594750250880609,l1
M26476,1,0.05,-1,26,0.0070731277171061,7.583504574367971e-07,61,0.9389280982672028,0.548593255074507,l1
M26758,1,0.05,-1,20,6.404746511189395e-05,4.727025682113365e-07,11,0.5822517213908315,0.7034326815437333,l2
M26788,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M26860,1,0.05,-1,182,2.4462757967076694e-06,0.0005119558161158846,3,0.7879732477780896,0.964648098788107,l2
M26874,1,0.05,-1,618,0.11732282527069147,5.662193336449932,251,0.9728658781618578,0.8323285320114644,l1
M27182,1,0.05,-1,283,0.002253610361452798,3.3367535508204763e-07,8,0.6467713661172311,0.9947546960649868,l2
M27253,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M27419,1,0.05,-1,22,1.0010768083076384e-08,7.883336336665691e-08,2,0.6753129777257537,0.6553634328794368,l1
M27429,1,0.05,-1,407,7.027761918338634e-07,0.051605112097244096,17,0.6009933162751303,0.9320086552419539,l2
M27489,1,0.05,-1,401,0.0519567664867752,2.907491937660629e-07,47,0.6465081926710528,0.5966035557808405,l1
M27594,1,0.05,-1,417,1.2355186768374344,1.5607892583370875e-06,144,0.9485431464787635,0.85525628573491,l2
M27751,1,0.05,-1,21,0.4935055289037995,2.811900449419233e-07,21,0.5009156559798373,0.50975612317816,l2
